spring,koin,manual
445823951,31989505,17151543
425873576,32759152,28249156
412412370,32724551,16335265
388474275,28371731,17378214
416316770,27652960,17360874
423084429,48418336,16108356
399123973,30795370,18357409
414235708,43246316,15296617
400019514,40190823,20497928
425536653,44516964,18600719
403871401,51823827,17476263
372999434,54158384,16411737
403928366,61717938,21896880
415990795,52636676,16319208
